City,Cloudiness (%),Humidity (%),Latitude,Max Temperature (F),Wind Speed (mph)
Pevek,12,94,69.7,-11.76,15.59
Nikolskoye,75,92,59.7,30.2,22.37
Rovaniemi,90,84,66.5,8.6,8.05
Hilo,20,64,19.71,73.4,9.17
Porohy,88,91,48.24,30.68,12.57
Rikitea,20,100,-23.12,77.93,6.08
Sorland,88,100,67.67,39.1,21.85
Busselton,0,78,-33.64,75.55,9.1
San Cristobal,92,100,-1.02,62.41,1.39
Bredasdorp,24,77,-34.53,60.8,1.12
Khatanga,0,0,71.98,-34.84,4.81
East London,90,100,-33.02,62.6,3.36
Ribeira Grande,24,98,38.52,65.02,15.48
Hermanus,0,100,-34.42,47.83,2.28
Kaitangata,12,62,-46.28,73.03,6.76
Bluff,0,74,-46.6,69.07,13.87
Hobart,0,41,-42.88,60.8,21.92
Poronaysk,8,90,49.22,13.58,3.4
Saint-Augustin,75,85,45.63,21.2,12.75
Sao Filipe,24,96,14.9,72.98,17.94
Esperance,0,68,-33.86,75.19,8.84
Chuy,20,83,-33.69,65.38,22.48
Kununurra,8,49,-15.77,93.2,9.17
Edd,0,52,13.93,51.38,3.13
Dikson,80,100,73.51,3.23,26.44
Nanakuli,75,68,21.39,75.2,6.93
Loreto,48,72,22.27,54.67,6.26
Saint-Francois,88,78,16.25,75.2,4.7
Bantry,92,99,51.68,50.66,18.45
New Norfolk,56,41,-42.78,60.8,21.92
Vaini,90,100,-21.2,75.2,19.69
Boguchar,76,84,49.93,22.99,7.94
Clyde River,1,74,70.47,-23.81,5.82
Nara,8,42,15.17,50.71,10.63
Sao Paulo de Olivenca,24,94,-3.38,76.63,2.06
Naze,75,94,28.37,71.6,14.99
Cape Town,0,82,-33.93,59.0,6.93
Malindi,75,83,-3.22,78.8,3.36
Mardin,75,58,37.32,55.4,11.41
Palmer,1,72,61.6,21.2,4.7
Arraial do Cabo,8,87,-22.97,76.63,22.75
Castro,80,87,-42.48,49.18,4.41
Dzilam Gonzalez,68,59,21.28,80.86,4.85
Jamestown,88,100,-15.94,67.9,16.6
Bani,44,100,18.28,78.29,20.58
Anloga,0,77,5.79,68.0,3.36
Upernavik,80,100,72.79,12.55,7.94
Beloha,92,94,-25.17,72.08,4.52
Kenai,1,68,60.55,26.6,17.22
Longyearbyen,20,68,78.22,26.6,13.87
Tuktoyaktuk,40,84,69.44,8.6,14.99
Marienburg,40,100,5.88,73.4,1.12
San Patricio,24,98,19.22,69.56,1.72
Necochea,0,88,-38.55,49.58,2.84
Butaritari,48,98,3.07,83.56,16.67
Ponta do Sol,32,100,17.2,71.95,22.75
Kapaa,1,88,22.08,73.4,11.41
Vanimo,8,100,-2.67,83.96,5.75
Buta,44,79,2.79,73.16,2.57
Kutum,0,45,14.2,56.33,9.78
Ostrovnoy,76,85,68.05,14.44,4.74
Port Blair,0,99,11.67,82.61,14.32
Menongue,68,89,-14.66,61.42,4.36
Luderitz,0,82,-26.65,57.2,11.41
Severo-Kurilsk,56,100,50.68,25.64,13.87
Kavieng,44,100,-2.57,84.82,7.09
Jiaohe,44,84,43.72,14.93,3.62
Dingle,92,93,52.14,51.16,23.26
Kodiak,90,67,39.95,23.0,8.05
Warmbad,0,50,-28.45,51.61,5.75
Marystown,80,100,47.17,31.76,14.65
Ushuaia,75,43,-54.81,50.0,3.36
Tulsipur,0,75,28.13,50.66,2.51
Souillac,75,78,-20.52,80.6,2.24
Shimoda,75,58,34.7,57.2,5.82
Qaanaaq,0,92,77.48,-7.89,12.97
Hobyo,88,79,5.35,76.63,21.59
Juli,8,74,-16.21,42.07,6.42
Chokurdakh,80,70,70.62,-1.86,22.48
Saint George,75,82,32.38,68.0,6.93
Cidreira,100,100,-30.17,70.24,6.6
Prince Rupert,1,86,54.32,26.6,3.85
Port Alfred,8,100,-33.59,63.04,4.85
Nome,1,87,30.04,46.4,2.8
Rantepao,24,73,-2.97,80.68,1.5
Medicine Hat,20,85,50.04,12.2,11.41
Bethel,90,74,60.79,37.4,18.34
Yellowknife,5,74,62.45,-22.01,6.93
Richards Bay,48,96,-28.77,69.16,6.87
Leningradskiy,8,79,69.38,22.31,18.23
Siderno,20,71,38.28,53.6,9.17
Kruisfontein,0,91,-34.0,59.35,4.41
Altay,24,52,47.83,-8.25,2.28
Avarua,75,65,-21.21,78.8,8.05
Puerto Ayora,68,96,-0.74,71.32,10.4
Verkhnyaya Inta,88,78,65.99,18.31,3.13
Mubi,0,46,10.27,64.93,7.87
Provideniya,88,100,64.42,25.64,22.19
Cervo,0,100,43.67,52.51,8.39
Svetlogorsk,12,84,53.14,6.8,4.47
Letterkenny,92,93,54.95,51.74,30.02
Saskylakh,32,74,71.97,-16.53,9.28
Neuquen,0,82,-38.95,59.0,8.28
Havre,90,66,48.55,10.4,20.8
Moissala,36,40,8.34,73.93,6.42
Punta Arenas,75,61,-53.16,50.0,31.09
Miyako,75,54,33.63,59.0,18.34
Rio Gallegos,75,50,-51.62,53.6,5.82
Angoche,48,100,-16.23,82.34,15.37
Carnarvon,0,77,-24.87,80.86,20.07
Port-Cartier,90,85,50.03,17.6,18.34
Barrow,90,68,39.51,32.0,9.17
Puerto del Rosario,0,67,28.5,62.6,9.17
Leopoldov,36,75,48.44,48.2,12.75
Namie,75,75,37.52,48.2,5.82
Lavrentiya,92,92,65.58,32.26,27.51
Albany,0,72,-35.02,71.5,11.63
Makat,92,89,47.65,20.96,9.1
Tuatapere,36,65,-46.13,68.62,18.12
Fortuna,1,87,40.6,46.4,5.82
Plastun,36,60,44.76,24.16,2.24
Heihe,0,34,33.22,36.71,1.57
Lebu,24,95,-37.62,54.22,19.62
Pobe,0,91,6.98,65.38,3.4
Iqaluit,20,68,63.75,-18.41,5.82
Melendugno,20,93,40.27,51.8,27.51
Touros,80,97,-5.2,76.81,7.83
Biak,0,78,-0.91,87.7,2.39
Broken Hill,32,24,-31.97,98.5,10.4
Bathsheba,20,83,13.22,78.8,21.92
Mana,64,89,5.67,75.64,2.8
Harper,0,99,4.38,81.04,5.41
Orange Walk,20,88,18.08,77.0,5.14
Thunder Bay,75,84,48.41,-2.21,4.7
Hambantota,8,100,6.12,79.51,11.56
Zbarazh,92,92,49.66,37.79,25.39
Grindavik,75,100,63.84,32.0,11.41
Coihaique,48,66,-45.58,48.2,5.82
Gelemso,0,78,8.81,32.8,2.35
Eyl,8,97,7.98,72.94,20.69
Trincomalee,76,87,8.58,78.34,5.26
Bonfim,0,64,-20.33,73.4,3.36
Vacha,88,86,55.8,21.14,18.61
Kars,75,90,40.61,41.0,17.22
Santa Cruz,0,57,10.26,80.6,26.4
Gerash,0,61,27.67,50.0,2.91
Los Llanos de Aridane,75,55,28.66,64.4,9.17
Korem,0,72,12.51,26.59,1.39
Mount Gambier,0,55,-37.83,67.36,7.87
Anadyr,0,74,64.73,-23.81,8.95
Kahului,20,69,20.89,73.4,10.29
Abha,0,38,18.22,44.6,2.24
Aksu,12,55,41.12,-3.66,1.28
Forestville,90,92,48.74,17.6,5.82
Vao,20,100,-22.67,75.73,9.4
Praia,20,68,14.92,69.8,21.92
Tomatlan,32,85,19.93,69.29,2.13
Yulara,0,6,-25.24,107.6,5.82
Nuseni,90,97,47.1,32.0,1.12
Hithadhoo,80,100,-0.6,82.61,4.85
Sabang,20,95,1.17,84.82,10.18
Miri,90,100,4.41,75.2,4.7
Oistins,20,83,13.07,78.8,21.92
Dunedin,0,46,-45.87,77.21,7.31
Mareeba,20,41,-16.99,91.4,14.99
Potam,0,58,27.6,58.09,8.55
Merville,90,65,43.72,46.4,1.12
Lagoa,40,82,37.14,59.0,17.22
Atuona,0,100,-9.8,80.41,10.18
Aitape,12,89,-3.15,84.01,4.14
Piacabucu,92,100,-10.41,73.57,6.04
Algiers,40,93,36.75,44.6,3.13
Hami,0,71,42.84,7.64,0.72
Sola,76,100,-13.88,79.96,0.49
Mar del Plata,44,50,-46.43,57.14,24.94
Baykit,56,73,61.68,-3.48,3.74
Durango,75,40,37.28,37.4,14.99
Paducah,90,80,37.08,35.6,8.28
Egvekinot,44,71,66.32,0.22,2.57
Iquitos,75,88,-3.75,77.0,1.72
Boyolangu,8,63,-8.09,84.91,7.87
Deputatskiy,44,67,69.3,-16.12,10.45
Mercedes,24,80,-29.18,71.63,17.94
Matara,0,100,5.95,77.53,4.81
Tasiilaq,8,73,65.61,19.4,13.87
Umm Lajj,0,100,25.02,62.41,5.86
Tiznit,0,95,29.7,47.11,3.29
Waupun,1,72,43.63,14.0,9.1
Kuching,75,70,1.56,87.8,4.7
Vila Velha,75,78,-3.71,80.6,10.29
Satun,40,74,6.62,84.2,13.87
Chivolo,12,66,10.03,80.14,3.36
Szabadbattyan,0,88,47.12,41.17,19.24
Beringovskiy,0,100,63.05,-6.49,5.64
Thompson,20,66,55.74,-31.01,4.7
Batticaloa,56,100,7.71,79.19,4.92
Sao Jose da Coroa Grande,92,100,-8.9,72.67,2.73
Nanortalik,0,98,60.14,27.76,7.43
Vestmanna,92,100,62.16,39.2,6.93
Kidal,0,31,18.44,51.7,13.2
Corner Brook,75,85,48.95,26.6,6.93
Ginir,0,69,7.14,41.89,3.74
Fano,0,100,43.84,32.0,5.82
Gorontalo,12,60,0.54,88.51,2.24
Gambo,90,85,48.78,19.4,8.05
Awbari,56,99,26.59,40.04,6.6
Bilma,20,53,18.69,51.88,16.49
Forio,0,61,40.73,50.0,4.41
Waddan,64,89,29.16,38.24,6.87
Kabo,0,72,7.69,68.62,2.84
Sciacca,20,100,37.51,46.4,2.24
Aztec,90,67,36.82,37.4,4.59
Tomigusuku,20,69,26.18,78.8,17.22
Ambon,40,59,-3.7,91.4,6.93
Antalaha,76,100,-14.9,75.64,0.89
Solnechnyy,32,77,50.72,-7.62,3.62
Petropavlovsk-Kamchatskiy,40,66,53.05,10.4,6.71
Macusani,88,100,-14.07,52.51,1.05
Lewistown,75,73,40.39,23.0,7.16
Pacific Grove,1,81,36.62,51.8,3.36
Nechi,36,94,5.59,65.2,2.01
Torbay,90,92,47.66,23.0,3.36
Porto Novo,75,68,17.02,69.8,24.16
Rawson,20,36,-43.3,55.34,11.45
Yakeshi,68,86,49.28,0.89,7.27
Novikovo,76,85,51.15,24.43,13.42
Glubokiy,64,89,48.52,21.64,7.31
Jalu,0,91,29.03,51.7,9.33
Vakhrushev,8,90,48.99,13.58,3.4
Havoysund,76,79,71.0,28.4,5.82
Tairua,88,60,-37.02,70.01,6.64
Buraydah,0,50,26.33,51.8,6.93
Aljezur,12,100,37.31,54.89,10.18
Ahuimanu,90,64,21.44,75.2,5.82
Ust-Tsilma,88,90,65.44,18.76,3.24
Maragogi,92,100,-9.01,72.67,2.73
Sao Bartolomeu de Messines,40,82,37.26,59.0,17.22
Beisfjord,90,100,68.38,32.0,4.7
Nevelsk,75,92,46.67,15.8,16.93
Tiksi,76,89,71.64,-14.91,6.93
Ixtapa,40,100,20.71,73.4,5.82
Qingdao,24,36,36.09,44.6,11.18
Seoul,90,86,37.57,41.0,5.82
Jilib,0,95,0.49,70.01,6.38
Sisimiut,68,100,66.94,3.46,1.61
Namibe,76,100,-15.19,68.48,7.09
Waipawa,56,59,-39.94,71.09,9.33
Burnie,20,100,-41.05,60.83,20.69
Princeton,1,85,38.36,33.8,3.36
Hasaki,75,70,35.73,46.4,4.7
Cabo San Lucas,40,77,22.89,69.8,4.7
Charyshskoye,0,53,51.4,-0.46,2.57
Broome,0,53,-17.97,95.0,11.41
Khandyga,24,0,62.65,-53.88,2.84
Jiwani,0,90,25.05,56.74,3.13
Lola,0,59,7.8,59.98,5.75
Balkanabat,68,83,39.51,42.56,4.85
Camopi,76,96,3.17,74.29,2.28
Chingirlau,68,73,51.09,10.57,6.04
Aklavik,20,66,68.22,12.2,8.05
Nantucket,90,100,41.28,51.8,13.87
Sabha,0,85,27.03,34.96,6.53
Bandar-e Lengeh,0,100,26.56,62.6,4.7
Batagay,44,0,67.65,-44.29,3.91
Lincoln,24,53,-43.64,73.4,16.11
Mabaruma,92,86,8.2,78.34,7.31
Plettenberg Bay,0,100,-34.05,62.14,3.24
Meulaboh,56,100,4.14,80.59,3.74
Adrar,0,51,27.87,39.2,10.29
Pathein,0,69,16.78,75.23,8.61
Kyabe,24,28,9.45,72.85,9.62
Mukhen,76,68,48.19,20.02,3.36
Diffa,0,49,13.32,65.02,13.98
Barcelona,56,92,12.87,82.66,10.56
Ahipara,100,100,-35.17,64.93,11.9
Cortez,90,43,37.35,33.8,4.7
Bubaque,0,100,11.28,74.02,19.39
Craig,20,72,40.52,28.4,8.05
Kirakira,32,100,-10.46,84.14,2.39
Mitake,1,43,35.79,50.0,3.36
Corbu,0,92,44.41,24.8,11.41
Save,0,82,8.04,62.18,2.84
Kinsale,90,100,51.71,51.8,12.75
Guiratinga,88,98,-16.35,69.79,3.06
Buala,56,80,-8.15,86.39,4.03
Aykhal,36,0,65.95,-37.32,2.84
Dongsheng,0,35,29.72,54.71,17.9
Mayo,5,74,63.59,-27.41,2.24
Abong Mbang,80,85,3.98,71.32,3.02
Nabire,44,82,-3.36,78.83,2.8
Wokha,0,73,26.1,65.74,2.01
Ornskoldsvik,0,79,63.29,24.8,14.99
Port Shepstone,92,100,-30.74,68.98,9.44
Waingapu,68,99,-9.65,80.86,2.73
Chapais,90,84,49.78,5.0,4.7
Rafai,0,75,4.95,68.84,5.03
San Policarpo,80,100,12.18,78.88,4.63
Albert,90,98,50.0,46.4,13.87
Santo Angelo,88,98,-28.3,69.88,9.44
Mitu,12,96,1.2,73.93,2.01
Lamu,0,97,-2.27,77.17,11.68
Lethem,48,62,3.38,81.67,14.92
Novyy Yarychiv,90,93,49.9,41.0,13.42
Makokou,32,96,0.56,72.4,2.24
Marco,92,90,-3.12,77.44,8.66
Maldonado,0,63,-34.91,62.6,11.41
Sangar,20,0,63.92,-48.84,1.61
Husavik,90,92,66.04,28.4,6.93
Ulladulla,40,54,-35.36,82.4,9.17
Miles City,90,72,46.41,12.2,14.99
Xingcheng,24,48,40.62,25.87,16.15
Kichera,36,68,55.93,-3.21,1.79
Cockburn Town,12,100,21.46,78.34,16.15
Kurchum,20,56,48.57,-6.04,2.57
Fomboni,8,100,-12.28,83.74,14.36
Surovikino,68,93,48.61,27.26,6.76
Filotion,88,49,37.05,46.4,28.86
Yuncheng,0,51,35.03,35.68,6.82
Phetchaburi,0,51,13.1,84.2,9.17
Xining,0,36,36.62,25.24,3.06
Honningsvag,44,100,70.98,21.73,6.82
Kalmunai,8,92,7.42,77.03,6.38
Senanga,24,96,-16.1,66.68,7.43
Jijiga,0,79,9.35,29.02,2.62
Isangel,20,100,-19.55,77.98,13.98
Ketchikan,1,92,55.34,33.8,3.36
Siocon,36,99,11.03,83.33,10.33
Lazaro Cardenas,5,59,28.39,33.8,4.7
Les Escoumins,92,74,48.35,11.69,2.73
Yutsa,90,100,43.96,30.2,11.18
Victoria,75,83,-4.62,80.6,2.24
Vanino,88,86,53.93,20.96,16.33
Pemba,8,100,-12.97,83.74,18.72
Etchoropo,0,55,26.77,64.39,12.86
Salalah,0,23,17.01,77.0,19.46
Panzhihua,0,58,26.59,45.89,3.06
Katunino,90,100,64.39,23.0,8.95
Saint-Pierre,92,100,46.77,35.54,24.2
Kattivakkam,75,74,13.22,80.6,5.82
Price,1,73,39.6,32.0,14.99
Poum,0,100,-20.23,78.11,12.46
Guadalupe y Calvo,80,78,26.09,52.06,1.34
Nazarovo,76,75,56.01,11.38,3.51
Solsona,40,83,18.1,80.6,9.17
Tromso,40,86,69.65,30.2,19.46
Colombia,80,95,3.38,67.27,1.12
Phek,0,85,25.7,59.17,2.35
Tansen,8,57,27.87,61.19,3.29
Bambous Virieux,75,78,-20.34,80.6,2.24
Ishinomaki,75,61,38.42,48.2,3.36
Katsuura,75,71,33.93,50.0,9.17
Mbaiki,8,91,3.87,70.64,2.28
Huaihua,0,56,27.56,53.09,3.8
Erenhot,0,60,43.65,8.14,7.27
Strzelce Opolskie,75,81,50.52,46.4,21.92
Praia da Vitoria,40,77,38.73,64.4,18.68
Atar,68,39,20.52,46.34,8.05
Acari,24,90,-15.44,55.43,1.79
Elizabeth City,90,88,36.3,66.2,8.05
Voljevac,75,93,43.88,35.6,1.12
Fairbanks,1,83,64.84,-9.41,10.56
Abu Kamal,56,59,34.45,60.25,12.91
Lixourion,0,100,38.2,50.89,4.29
Yumen,0,50,40.29,14.93,2.84
